"tree","lambda_exp","lambda_gauss","lambda_lin","rho_gauss","rho_lin","rho_bm","target_exp","target_gauss","target_lin","target_bm"
"post_82",3.2,1.8,1.4,0.892000628923846,0.933463612063993,0.804965528657886,TRUE,TRUE,TRUE,FALSE
"post_83",2.9,1.6,1.3,0.875025371797892,0.943038678652611,0.822507086827635,TRUE,TRUE,TRUE,FALSE
"post_84",3.2,1.8,1.3,0.865267620310734,0.943812817585773,0.795215535810063,TRUE,TRUE,TRUE,FALSE
"post_85",3.1,1.8,1.4,0.884771085295483,0.924436074061817,0.812118110024734,TRUE,TRUE,TRUE,FALSE
"post_86",3,3.8,1.2,0.947710878738759,0.936902304843147,0.795139066807767,TRUE,TRUE,TRUE,FALSE
"post_87",2.9,1.6,1.3,0.872508119462589,0.942306251656449,0.792622353530864,TRUE,FALSE,TRUE,FALSE
"post_88",5,10.8,2,0.956193733218578,0.938515468352451,0.688635708355785,FALSE,FALSE,FALSE,FALSE
"post_89",3,1.7,1.3,0.85997769404018,0.954558065553093,0.773063915416146,TRUE,TRUE,TRUE,FALSE
"post_90",3,1.8,1.3,0.892503904298745,0.938219293293302,0.827571014257475,TRUE,TRUE,TRUE,FALSE
"post_91",2.8,1.6,1.3,0.889439385797561,0.946991817834986,0.828189280507277,TRUE,TRUE,TRUE,TRUE
"post_92",3.1,1.8,1.3,0.888103726952967,0.943944202013404,0.789500405533038,TRUE,TRUE,TRUE,FALSE
"post_93",2.7,1.6,1.3,0.881577477852346,0.945256179343033,0.804174996286092,TRUE,TRUE,TRUE,TRUE
"post_94",2.9,1.7,1.3,0.887452168144259,0.93351652656903,0.811013289675513,TRUE,TRUE,TRUE,FALSE
"post_95",2.9,1.8,1.3,0.884568249804357,0.943560450759979,0.81004976321087,TRUE,TRUE,TRUE,FALSE
"post_96",2.9,1.7,1.3,0.877383658269988,0.940984625707857,0.803574139932198,TRUE,TRUE,TRUE,FALSE
"post_97",2.8,1.6,1.3,0.877690723801978,0.935650609668792,0.812592843344176,TRUE,TRUE,TRUE,TRUE
"post_98",2.8,1.7,1.3,0.903795346868058,0.940636430653675,0.840432911363824,TRUE,TRUE,TRUE,FALSE
"post_99",2.5,1.5,1.3,0.90365780040698,0.932144709242764,0.85464492641734,TRUE,TRUE,TRUE,TRUE
"post_100",2.4,1.5,1.3,0.898329136135842,0.9252593331471,0.843126173094625,TRUE,TRUE,TRUE,FALSE
